framestart ,frameend,missed,continued,wrong,total comparisons
1,0,1,0,0,50,
10,0,2,0,0,51,
20,0,2,0,0,38,
30,0,3,0,0,70,
40,0,2,0,0,43,
50,0,3,0,0,40,
60,0,0,0,0,33,
70,0,2,0,0,48,
80,0,1,0,0,48,
90,0,3,0,0,39,
100,0,4,0,0,42,
110,0,2,0,0,28,
120,0,0,0,2,38,
130,0,2,0,0,30,
140,0,1,0,0,26,
150,0,2,0,0,19,
160,0,4,0,0,20,
170,0,2,0,0,20,
180,0,5,0,0,28,
190,0,0,0,0,41,
200,0,5,1,0,22,
210,0,5,0,0,26,
220,0,2,0,0,21,
230,0,4,0,0,18,
240,0,2,0,0,17,
250,0,1,0,0,48,
260,0,2,0,0,31,
270,0,2,0,0,27,
280,0,0,0,0,22,
290,0,0,0,0,20,
300,0,2,0,0,21,
310,0,0,0,0,23,
320,0,1,0,0,17,
330,0,0,0,0,19,
340,0,2,0,0,5,
350,0,2,0,0,20,
360,0,0,0,0,17,
370,0,5,0,0,15,
380,0,1,0,0,32,
390,0,2,0,0,18,
400,0,2,0,0,50,
410,0,2,0,0,27,
420,0,5,0,0,49,
430,0,2,0,0,42,
440,0,2,0,0,85,"lens: 6, 11,11,11,11,9, 7 M, 7M, 1, 11"
450,0,2,0,0,88,lens:
460,0,2,0,0,55,
470,0,3,0,0,27,
480,0,2,0,0,15,
490,0,1,0,0,31,
500,0,1,0,0,31,
510,0,2,0,0,14,
520,0,1,0,0,29,
530,0,0,0,0,19,
540,0,1,0,0,12,
550,0,4,0,0,62,
560,0,2,0,0,93,
570,0,3,0,0,55,
580,0,1,0,0,60,
590,0,2,0,0,74,
600,0,1,0,0,56,
610,0,3,0,0,80,
620,0,4,0,0,35,
630,0,7,0,1,48,
640,0,3,0,0,31,
650,0,2,0,0,38,
660,0,2,0,0,22,
670,0,1,0,0,10,
680,0,2,0,0,32,
690,0,2,0,0,39,
700,0,4,0,0,51,
710,0,1,0,0,68,
720,0,1,0,0,16,
730,0,1,0,0,38,
740,0,0,0,0,19,
750,0,0,0,0,25,
760,0,1,0,0,23,
770,0,5,0,0,19,
780,0,2,0,0,8,
790,0,1,0,0,30,
800,0,3,0,0,33,