starting frame,missed,continued,wrong,total11
1,0,0,0,57
10,0,0,0,59
20,0,0,0,49
30,1,0,1,82
40,0,0,1,81
50,1,2,0,64
60,0,0,0,41
70,1,1,0,53
80,1,1,1,53
90,1,0,0,55
100,1,0,1,66
110,1,1,0,34
120,0,0,1,44
130,1,0,0,41
140,1,0,0,28
150,0,0,0,28
160,0,0,0,40
170,0,0,0,34
180,0,0,0,61
190,0,0,0,58
200,1,0,0,36
210,0,0,0,43
220,0,0,0,32
230,0,0,0,39
240,0,0,0,31
250,0,0,0,56
260,1,0,0,41
270,0,0,0,44
280,0,0,0,22
290,1,0,0,20
300,0,0,1,40
310,0,0,0,23
320,0,0,0,26
330,0,0,0,19
340,0,0,0,22
350,0,0,0,24
360,0,0,0,17
370,1,0,0,39
380,0,1,0,50
390,0,0,0,34
400,0,0,0,61
410,0,0,1,37
420,0,1,2,82
430,0,1,1,51
440,0,2,0,91
450,0,1,0,79
460,0,1,2,68
470,1,2,2,44
480,0,2,0,24
490,0,2,0,36
500,1,0,0,32
510,0,0,1,24
520,0,1,0,39
530,0,0,0,22
540,0,1,0,16
550,1,1,0,88
560,1,0,0,99
570,0,0,2,77
580,0,0,0,66
590,0,1,0,99
600,0,0,0,61
610,0,1,0,94
620,0,1,0,65
630,0,0,0,100
640,0,0,0,40
650,0,0,0,43
660,1,0,0,28
670,0,0,0,18
680,0,0,0,44
690,0,0,0,49
700,0,0,0,76
710,0,1,0,73
720,1,0,0,19
730,0,0,0,41
740,0,0,0,20
750,0,0,0,35
760,0,0,0,31
770,0,0,0,47
780,0,0,0,20
790,0,0,0,35
800,2,2,0,41